wardpc,wardname,province,district,alt_name,districtpc,provincepc,integrity
130509,9,Mashonaland East,Mudzi,,1305,13,Old ward
130503,3,Mashonaland East,Mudzi,,1305,13,Old ward
130905,5,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
130701,1,Mashonaland East,Mutoko,,1307,13,Old ward
130708,8,Mashonaland East,Mutoko,,1307,13,Old ward
130713,13,Mashonaland East,Mutoko,,1307,13,Old ward
130714,14,Mashonaland East,Mutoko,,1307,13,Old ward
130716,16,Mashonaland East,Mutoko,,1307,13,Old ward
142406,6,Mashonaland West,Kariba Urban,,1424,14,Old ward
142405,5,Mashonaland West,Kariba Urban,,1424,14,Old ward
120802,2,Mashonaland Central,Mbire,,1208,12,Old ward
120803,3,Mashonaland Central,Mbire,,1208,12,Boundary adjusted
120809,9,Mashonaland Central,Mbire,,1208,12,Boundary adjusted
120817,17,Mashonaland Central,Mbire,,1208,12,New ward
130715,15,Mashonaland East,Mutoko,,1307,13,Old ward
130514,14,Mashonaland East,Mudzi,,1305,13,Old ward
130705,5,Mashonaland East,Mutoko,,1307,13,Old ward
120317,17,Mashonaland Central,Guruve,,1203,12,Old ward
120816,16,Mashonaland Central,Mbire,,1208,12,New ward
120805,5,Mashonaland Central,Mbire,,1208,12,Boundary adjusted
120813,13,Mashonaland Central,Mbire,,1208,12,New ward
120204,4,Mashonaland Central,Centenary,,1202,12,Old ward
120223,23,Mashonaland Central,Centenary,,1202,12,New ward
120201,1,Mashonaland Central,Centenary,,1202,12,Boundary adjusted
130712,12,Mashonaland East,Mutoko,,1307,13,Old ward
130718,18,Mashonaland East,Mutoko,,1307,13,Old ward
