wardpc,wardname,province,district,alt_name,districtpc,provincepc,integrity
130422,22,Mashonaland East,Marondera,,1304,13,Old ward
130421,21,Mashonaland East,Marondera,,1304,13,Old ward
132109,9,Mashonaland East,Marondera Urban,,1321,13,New ward
132112,12,Mashonaland East,Marondera Urban,,1321,13,New ward
130423,23,Mashonaland East,Marondera,,1304,13,New ward
132111,11,Mashonaland East,Marondera Urban,,1321,13,New ward
132609,9,Mashonaland East,Ruwa,,1326,13,New ward
130402,2,Mashonaland East,Marondera,,1304,13,Old ward
132605,5,Mashonaland East,Ruwa,,1326,13,New ward
132603,3,Mashonaland East,Ruwa,,1326,13,New ward
132604,4,Mashonaland East,Ruwa,,1326,13,New ward
130404,4,Mashonaland East,Marondera,,1304,13,Old ward
132606,6,Mashonaland East,Ruwa,,1326,13,New ward
132104,4,Mashonaland East,Marondera Urban,,1321,13,New ward
132105,5,Mashonaland East,Marondera Urban,,1321,13,New ward
130805,5,Mashonaland East,Seke,,1308,13,Old ward
130806,6,Mashonaland East,Seke,,1308,13,Old ward
130418,18,Mashonaland East,Marondera,,1304,13,Old ward
132107,7,Mashonaland East,Marondera Urban,,1321,13,New ward
130413,13,Mashonaland East,Marondera,,1304,13,Old ward
132103,3,Mashonaland East,Marondera Urban,,1321,13,New ward
132110,10,Mashonaland East,Marondera Urban,,1321,13,New ward
130406,6,Mashonaland East,Marondera,,1304,13,Old ward
130411,11,Mashonaland East,Marondera,,1304,13,Old ward
130409,9,Mashonaland East,Marondera,,1304,13,Old ward
130412,12,Mashonaland East,Marondera,,1304,13,Old ward
130815,15,Mashonaland East,Seke,,1308,13,Old ward
130819,19,Mashonaland East,Seke,,1308,13,Old ward
130410,10,Mashonaland East,Marondera,,1304,13,Old ward
130405,5,Mashonaland East,Marondera,,1304,13,Old ward
132106,6,Mashonaland East,Marondera Urban,,1321,13,New ward
130419,19,Mashonaland East,Marondera,,1304,13,Old ward
132108,8,Mashonaland East,Marondera Urban,,1321,13,New ward
130420,20,Mashonaland East,Marondera,,1304,13,Old ward
130818,18,Mashonaland East,Seke,,1308,13,Old ward
140635,35,Mashonaland West,Zvimba,,1406,14,New ward
192101,1,Harare,Harare,Harare Rural,1921,19,Old ward
192206,6,Harare,Chitungwiza,,1922,19,Boundary adjusted
130810,10,Mashonaland East,Seke,,1308,13,Old ward
192212,12,Harare,Chitungwiza,,1922,19,Old ward
192218,18,Harare,Chitungwiza,,1922,19,Old ward
130808,8,Mashonaland East,Seke,,1308,13,Old ward
192224,24,Harare,Chitungwiza,,1922,19,Old ward
192223,23,Harare,Chitungwiza,,1922,19,Boundary adjusted
192222,22,Harare,Chitungwiza,,1922,19,Boundary adjusted
